,Estimate,Std. Error,t value,Pr(>|t|),sig
"Poor:$0 - $34,999",0.731821118,0.115156418,6.355018049,2.11E-10,***
"Poor:$50,000 - $74,999",0.719131387,0.117886625,6.100194887,1.07E-09,***
"Don't Know:$50,000 - $74,999",0.685,0.343765328,1.992638422,0.046309543,*
"Poor:$35,000 - $49,999",0.67696875,0.117418213,5.76544927,8.22E-09,***
"Poor:$75,000 - $99,999",0.573480519,0.12039402,4.763363813,1.91E-06,***
"Don't Know:$35,000 - $49,999",0.564,0.256227547,2.201168479,0.02773122,*
"Fair:$0 - $34,999",0.553,0.114819351,4.816261308,1.47E-06,***
"Fair:$35,000 - $49,999",0.530691042,0.115423342,4.597779206,4.29E-06,***
"Poor:$100,000+",0.530326316,0.119315709,4.444731713,8.83E-06,***
"Fair:$50,000 - $74,999",0.469225524,0.115386978,4.066537947,4.78E-05,***
"Fair:$100,000+",0.444235732,0.115720208,3.838877762,0.000123836,***
"Fair:$75,000 - $99,999",0.419464029,0.116225503,3.609053238,0.000307786,***
"Good:$0 - $34,999",0.383670039,0.114737938,3.343881238,0.0008271,***
"Don't Know:$0 - $34,999",0.37975,0.198473004,1.913358449,0.055711103,.
"Good:$35,000 - $49,999",0.363267372,0.11493411,3.160657633,0.001575602,**
"Refused:$0 - $34,999",0.358,0.198473004,1.803771757,0.071276506,.
"Good:$50,000 - $74,999",0.339352493,0.114856957,2.954566281,0.003133371,**
"Good:$75,000 - $99,999",0.327229167,0.115021671,2.844934912,0.004444872,**
"Good:$100,000+",0.303850917,0.114850959,2.645610616,0.008158352,**
"Very Good:$0 - $34,999",0.287714222,0.114793248,2.506368862,0.012202755,*
"Very Good:$35,000 - $49,999",0.27706894,0.114927713,2.410810517,0.015922721,*
"Very Good:$50,000 - $74,999",0.274324219,0.11481203,2.389333407,0.016884738,*
"Very Good:$75,000 - $99,999",0.251617353,0.1148742,2.190373068,0.028504389,*
"Very Good:$100,000+",0.235847112,0.114718141,2.055883318,0.039801867,*
"Excellent:$100,000+",0.179684431,0.114747981,1.565904942,0.117380772,
"Excellent:$35,000 - $49,999",0.178775224,0.115172336,1.552241006,0.120614468,
"Excellent:$75,000 - $99,999",0.177767179,0.115057589,1.545027856,0.122349425,
"Excellent:$50,000 - $74,999",0.165479483,0.114936208,1.439750677,0.149947743,
"Excellent:$0 - $34,999",0.157902513,0.114937001,1.37381793,0.169507847,
(Intercept),0.083,0.114588443,0.724331339,0.468867643,
"Refused:$75,000 - $99,999",-0.083,0.343765328,-0.24144378,0.809212734,
"Refused:$50,000 - $74,999",-0.083,0.256227547,-0.323930822,0.745992528,
